storage Path,Type,Category,sku,English ProductName,German Product Name,Spanish Product Name,English Description,German Description,Spanish Description,Color,CountryOfOrigin,Brand,Weight,Length,width,Generic Size,Numeric Size,Availability,StockSize,Next Availability,Price,Discount,Store,ManufacturerAddress,MaterialUsed,Date of Manufacturing,Season,GenericName,Pattern,Design,Sleeve Type,Neck Style,Collar Type,Fit Type,Closure Type,Pocket Description,Kurti length,kurti Style,wash and  care,Rating,comment,Display Image,Images
/CLOTHING/MENS/TOP WEAR/FORMAL SHIRTS,object,/CATEGORY/MENS/TOP WEAR/FORMAL SHIRTS,CLOTH1,ButtonDownCollarShirt,ButtonDownCollarShirt,Bot�nAbajoCuelloCamisa,The button-down collar is hotly debated as either too traditional or too casual,Der Button-Down-Kragen wird heftig als zu traditionell oder zu l�ssig diskutiert,El cuello abotonado es muy debatido por ser demasiado tradicional o demasiado informal.,#FF3399,US,Nike,12 g,20 cm,10 cm,S,30,1,3,2024-01-01,500 INR,5,ABC Clothing Store,"Nike Manufacturing, 123 Manufacturing St, Portland, OR, USA",Silk,2023-01-01,Summer,Classic Button Shirt ,Checked,Abstract,Full Sleeves,collar,With Collar,Casual fit,,,,,Washtub (washing),4.5,Great fit and quality!,/Mens/Button Down Collar/Lightpink/1.jpg,"/Mens/Button Down Collar/Lightpink/7.jpg,/Mens/Button Down Collar/Lightpink/5.jpg,/Mens/Button Down Collar/Lightpink/6.jpg/Mens/Button Down Collar/Lightpink/4.jpg,/Mens/Button Down Collar/Lightpink/3.jpg,/Mens/Button Down Collar/Lightpink/2.jpg"
/CLOTHING/WOMENS/WESTERN WEAR/TROUSERS and JEANS,object,/CATEGORY/WOMENS/WESTERN WEAR/TROUSERS and JEANS,SKU123,DenimJeans,Denim Jeans,Pantalones vaqueros,"Classic denim jeans with a modern fit. Versatile and timeless, suitable for various occasions.","Klassische Denim-Jeans mit moderner Passform. Vielseitig und zeitlos, passend f�r verschiedene Anl�sse.","Vaqueros de mezclilla cl�sicos con un ajuste moderno. Vers�til y atemporal, apto para diferentes ocasiones.",#F10DE9,RU,Levis,13 g,21 cm,11 cm,XXL,34,1,4,2024-01-02,-501 INR,30,Denim Delight,"Levi Strauss & Co., 303 Denim Tower, San Francisco, CA, USA ",Cotton,2023-02-05,Winter,Classic Denim Jeans,Solid,Animal,,,Straight,Bottoms,Buckle,Inset pocket,,,Triangle (bleaching),3.8,Classic and durable.,/Mens/Jeans/Light Blue/1.jpg,"/Mens/Jeans/Light Blue/2.jpg,/Mens/Jeans/Light Blue/3.jpg,/Mens/Jeans/Light Blue/4.jpg,/Mens/Jeans/Light Blue/5.jpg,/Mens/Jeans/Light Blue/6.jpg"
/CLOTHING/MENS/TOP WEAR/MENS TSHIRTS,object,/CATEGORY/MENS/TOP WEAR/MENS TSHIRTS,CLOTH3,FloralPrintTshirt,T-Shirt mit Blumendruck,Camiseta Estampado Floral,Trendy floral print t-shirt for a stylish casual look. Comfortable and perfect for warm weather.,Trendiges T-Shirt mit Blumendruck f�r einen stilvollen Casual-Look. Bequem und perfekt f�r warmes Wetter.,Moderna camiseta con estampado floral para un look informal elegante. C�modo y perfecto para clima c�lido.,#1A181A,CN,HRX,14 g,22 cm,12 cm,XXXL,42,1,7,2024-01-03,-1,35,Trendy Tees Boutique,"HRX Fashion Hub, 404 Style Street, Bangalore, India",Denim,2023-03-10,Summer,Trendy Floral Tee,Floral,Chevron,Short Sleeves,Round Neck,,Tapered fit,,,,,Iron (ironing),3.7,Perfect for summer!,/Mens/Floral print shirt/Red/1.jpg,"/Mens/Floral print shirt/Red/1.jpg,/Mens/Floral print shirt/Red/2.jpg,/Mens/Floral print shirt/Red/3.jpg,/Mens/Floral print shirt/Red/4.jpg,/Mens/Floral print shirt/Red/5.jpg"
/CLOTHING/MENS/BOTTOM WEAR/CASUAL TROUSERS,object,/CATEGORY/MENS/BOTTOM WEAR/CASUAL TROUSERS,CLOTH4,CasualPants,Freizeithosen,Pantalones Casuales,Comfortable and stylish casual pants for everyday wear. Versatile and easy to pair with any top.,Bequeme und stilvolle Freizeithose f�r den Alltag. Vielseitig und einfach mit jedem Oberteil kombinierbar.,Pantal�n casual c�modo y elegante para el d�a a d�a. Vers�til y f�cil de combinar con cualquier top.,#A6B3EA,US,Gap,15 g,23 cm,13 cm,XL,28,1,6,2024-01-04,503 INR,50,Urban Casuals,"Gap Inc., 606 Casual Avenue, San Francisco, CA, USA",Silk,2023-04-15,Spring,Everyday Casual Pants,Solid,Gingham,,,Belted,Bottoms,Zippers,Slash pocket,,,Circle (dry cleaning),4.6,Comfortable for daily wear.,/Mens/Casual pants/Cream/1.jpg,"/Mens/Casual pants/Cream/2.jpg,/Mens/Casual pants/Cream/3.jpg,/Mens/Casual pants/Cream/4.jpg,/Mens/Casual pants/Cream/5.jpg,/Mens/Casual pants/Cream/6.jpg"
/CLOTHING/WOMENS/WESTERN WEAR/TSHIRTS and SHIRTS,object,/CATEGORY/WOMENS/WESTERN WEAR/TSHIRTS and SHIRTS,CLOTH5,StripedShirt,Gestreiftes Hemd,Camisa de rayas,Classic striped shirt with a modern twist. Suitable for both casual and semi-formal occasions.,Klassisches Streifenhemd mit modernem Touch. Geeignet sowohl f�r ungezwungene als auch f�r halbformelle Anl�sse.,Camisa cl�sica de rayas con un toque moderno. Adecuado tanto para ocasiones informales como semiformales.,#D1E6D2,IN,Allen Solly,16 g,24 cm,14 cm,M,,0,5,2024-01-05,504 INR,55,Stripes & More,"Allen Solly Creations, 707 Fashion House, Mumbai, India",Cotton,2023-05-20,Autumn,Modern Striped Shirt,Striped,Ditsy,Full Sleeves,,Spread Collar,Regular fit,,,,,Square (drying),4.4,"Nice fit, love the stripes.",/Mens/StrippedShirt/Grey/1.jpg,"/Mens/StrippedShirt/Grey/2.jpg,/Mens/StrippedShirt/Grey/3.jpg,/Mens/StrippedShirt/Grey/4.jpg,/Mens/StrippedShirt/Grey/5.jpg,/Mens/StrippedShirt/Grey/6.jpg"
/CLOTHING/MENS/TOP WEAR/CASUAL SHIRTS,object,/CATEGORY/MENS/TOP WEAR/CASUAL SHIRTS,CLOTH6,PoloShirt,Polo Hemd,Camisa polo,"A classic polo shirt with a modern twist. Comfortable and stylish, perfect for casual occasions.","Ein klassisches Poloshirt mit modernem Touch. Bequem und stilvoll, perfekt f�r ungezwungene Anl�sse.","Un polo cl�sico con un toque moderno. C�modo y elegante, perfecto para ocasiones informales.",#F10D0D,IN,Puma,17 g,25 m,15 cm,M,,1,5,2024-01-06,505 INR,10,XYZ Sportswear Outlet,"Puma Garments, 456 Textile Ave, Herzogenaurach, Germany",Cotton,2023-06-25,Occasional,Modern Twist Polo,Striped,Afracian,Half Sleeves,v neck,Polo Collar,Skinny fit,,,,,Washtub (washing),3.5,Love the vibrant color.,/Mens/Polo/black/b1.jpg,"Mens/Polo/black/b2.jpg,Mens/Polo/black/b3.jpg,Mens/Polo/black/b4.jpg,Mens/Polo/black/b5.jpg,Mens/Polo/black/b6.jpg"
/CLOTHING/MENS/INDIAN AND FESTIVE WEAR/KURTA SETS,object,/CATEGORY/MENS/INDIAN AND FESTIVE WEAR/KURTA SETS,HAPPY123,Kurta,Ethnischen Verschlei�,Ropas etnicas,Traditional ethnic wear with intricate embroidery and vibrant colors. Ideal for festive celebrations.,Traditionelle ethnische Kleidung mit aufwendiger Stickerei und leuchtenden Farben. Ideal f�r festliche Feiern.,Ropa �tnica tradicional con bordados intrincados y colores brillantes. Ideal para celebraciones festivas.,#E9F10D,IN,Manyavar,18 g,26 cm,16 cm,L,32,1,8,2024-01-07,506 INR,15,Festive Fashion Boutique,"Manyavar Creations, 789 Ethnic St, Kolkata, India",Silk,2023-07-30,Festive,Festive Embroidered Attire,Embroidered,Arabesque,Full Sleeves,v neck,Nehru Collar,Elegant,Toggles,,,,Triangle (bleaching),4,Beautiful embroidery.,/Mens/Ethinic wear/Blue/b1.jpg,"/Mens/Ethinic wear/Blue/b1.jpg,/Mens/Ethinic wear/Blue/b2.jpg,/Mens/Ethinic wear/Blue/b3.jpg,/Mens/Ethinic wear/Blue/b4.jpg"
/CLOTHING/KIDS/GIRLS/SKIRTS and SHORTS,object,/CATEGORY/KIDS/GIRLS/SKIRTS and SHORTS,CLOTH8,KidsDenimShorts,Jeansshorts f�r Kinder,Pantalones cortos de mezclilla para ni�os,Cute and comfortable kids' denim shorts for playtime and casual outings.,S��e und bequeme Jeansshorts f�r Kinder zum Spielen und f�r Freizeitausfl�ge.,Lindos y c�modos shorts de mezclilla para ni�os para jugar y salidas casuales.,#E0E7A2,CN,OshKosh,19 g,27 cm,17 cm,S,28,1,12,2024-01-08,507 INR,60,Tiny Tots Denim Depot,"OshKosh B'gosh, 808 Denim Drive, Los Angeles, CA, USA",Denim,2023-08-05,Summer,Playtime Denim Shorts,Solid,Chintz,,,Elastic Waist,Cropped pants,Buckle,Draped pocket,,,Iron (ironing),4.8,Adorable and durable. ,/Kids/Shorts/1.webp,"/Kids/Shorts/2.webp,/Kids/Shorts/3.webp,/Kids/Shorts/4.webp,/Kids/Shorts/5.webp,/Kids/Shorts/6.webp,/Kids/Shorts/7.webp"
/CLOTHING/KIDS/BOYS/TSHIRTS,object,/CATEGORY/KIDS/BOYS/TSHIRTS,CLOTH9,KidsTshirt,KinderTshirt,Camiseta para ni�os,Cute and comfortable kids' t-shirt with playful prints. Perfect for playtime and everyday wear.,S��es und bequemes Kinder-T-Shirt mit verspielten Aufdrucken. Perfekt zum Spielen und f�r den Alltag.,Bonita y c�moda camiseta infantil con divertidos estampados. Perfecto para jugar y la vida cotidiana.,#1DF10D,DE,Carters,20 g,28 cm,18 cm,XS,34,0,0,2024-01-09,508 INR,20,Kid's Corner,"Carter's Kids Wear, 101 Playful Rd, Los Angeles, CA, USA",Cotton,2023-09-10,All,Playful Print Kids Tee,Printed,Plaid,Short Sleeves,Round Neck,,Regular fit,,,,,Circle (dry cleaning),5,"Soft fabric, kids love it.",/Kids/Tshirt/tshirt.jpg,"/Kids/Tshirt/t4.jpg,/Kids/Tshirt/t1.jpg,/Kids/Tshirt/t3.png,/Kids/Tshirt/t2.jpg"
/CLOTHING/KIDS/INFANTS/BODY SUITS,object,/CATEGORY/KIDS/INFANTS/BODY SUITS,CLOTH10,Woolen Body suit,Woolen cloth,Woolen cloth,Cute and Woolen dress for infants babies,S��es Wollkleid f�r Kleinkinder,Lindo vestido de lana para ni�os peque�os,#D1E6D2,IN,Carters,21 g,29 cm,19 cm,XS,,1,2,2024-01-10,509 INR,5,Kid's Corner,"Carter's Kids Wear, 101 Playful Rd, Los Angeles, CA, USA",Wool,2023-10-15,Winter,Woolen clothes for  kids,Herringbone,Damask,Full Sleeves,Round Neck,,Tapered fit,,,,,Square (drying),3.8,"Thick woolen, kids love it.",/Kids/Infants/1.jpg,"/Kids/Infants/12.jpg,/Kids/Infants/3.jpg,/Kids/Infants/4.jpg,/Kids/Infants/5.jpg,/Kids/Infants/6.jpg "
/CLOTHING/WOMENS/TRADITIONAL WEAR/KURTIS and SUITS,object,/CATEGORY/WOMENS/TRADITIONAL WEAR/KURTIS and SUITS,CLOTH11,Checked Kurti,"Gepr�ft, Kurti",ComprobadoKurti,Stylish and comfortable checked kurti with a modern design. Perfect for casual outings and events.,Stilvoller und bequemer karierter Kurti mit modernem Design. Perfekt f�r ungezwungene Ausfl�ge und Veranstaltungen.,Kurti a cuadros elegante y c�modo con un dise�o moderno. Perfecto para salidas informales y eventos.,#0D33F1,IN,Biba,22 g,30 cm,20 cm,XL,,1,6,2024-01-11,510 INR,25,Ethnic Trends Emporium,"Biba Designs, 202 Fashion Plaza, Mumbai, India",Denim,2023-11-20,Autumn,Stylish Checked Kurti,Checked,Matelasse,3/4 Sleeves,v neck,,Elegant,,,long,Front slit Kurti,Washtub (washing),4.2,Stylish and comfortable.,/Womens/Checked kurti/Red/1.jpg,"/Womens/Checked kurti/Red/2.jpg,/Womens/Checked kurti/Red/3.jpg,/Womens/Checked kurti/Red/4.png,/Womens/Checked kurti/Red/5.png,/Womens/Checked kurti/Red/6.png"
/CLOTHING/WOMENS/TRADITIONAL WEAR/SAREES,object,/CATEGORY/WOMENS/TRADITIONAL WEAR/SAREES,CLOTH12,Saree1,Saree,sari,Elegant traditional saree with intricate border work. Perfect for weddings and special occasions.,Eleganter traditioneller Saree mit aufwendiger Bord�renarbeit. Perfekt f�r Hochzeiten und besondere Anl�sse.,Elegante sari tradicional con intrincados bordes. Perfecto para bodas y ocasiones especiales.,#EADDEA,IN,Neeru,23 g,31 cm,21 cm,Free,,1,2,2024-01-12,511 INR,40,Saree Haven,"Neeru's Heritage, 505 Saree Lane, Hyderabad, India",Cotton,2023-12-25,All,Elegant Saree,Paisley,Chevron,,,,Elegant,,,,,Triangle (bleaching),4.1,Elegant and beautiful. ,/Womens/Saaree/Green/1.jpg,"/Womens/Saaree/Green/1.jpg,/Womens/Saaree/Green/2.jpg,/Womens/Saaree/Green/3.jpg,/Womens/Saaree/Green/4.jpg,/Womens/Saaree/Green/5.jpg"
/CLOTHING/WOMENS/SPORTS WEAR/GYM TIGHTS,object,/CATEGORY/WOMENS/SPORTS WEAR/GYM TIGHTS,CLOTH13,Tracksuit,Tracksuit,Tracksuit,This is perfect for sports activities,Dies ist perfekt f�r sportliche Aktivit�ten,Esto es perfecto para actividades deportivas.,#FF3399,US,Puma,24 g,32 cm,22 cm,S,,1,4,2024-01-13,512 INR,20,ABC Clothing Store,"Nike Manufacturing, 123 Manufacturing St, Portland, OR, USA",Silk,2023-01-01,All,Perfect for workout,Plain,Afracian,Full Sleeves,,With Collar,Athlectic fit,,Cargo pocket,,,Iron (ironing),4.2,Very comfortable,/Womens/Tracksuit/1.jpg,"/Womens/Tracksuit/2.jpg,/Womens/Tracksuit/3.jpg,/Womens/Tracksuit/4.jpg,/Womens/Tracksuit/5.jpg"
/CLOTHING/WOMENS/WESTERN WEAR/DRESSES,object,/CATEGORY/WOMENS/WESTERN WEAR/DRESSES,CLOTH14,Umbrella dress,Middy,Middy,This is perfect for parties ,Das ist perfekt f�r Partys,Esto es perfecto para fiestas.,#F10D0D,ES,HRX,25 g,33 cm,23 cm,M,,1,3,2024-01-14,513 INR,10,Trendy Tees Boutique,"HRX Fashion Hub, 404 Style Street, Bangalore, India",Rayon,2023-02-05,Occasional,perfect for parties,Paisley,Animal,3/4 Sleeves,v neck,,Skinny fit,Clasps,,,,Circle (dry cleaning),5,very nice,/Womens/Western/1.jpg,"/Womens/Western/2.jpg,/Womens/Western/3.jpg,/Womens/Western/4.jpg,/Womens/Western/5.jpg "
/CLOTHING/WOMENS/TRADITIONAL WEAR/SAREES/Saree1,variant,/CATEGORY/WOMENS/TRADITIONAL WEAR/SAREES,CLOTH15,RoyalBlueSaree,K�nigsblauer Saree,Sari azul real,,,,#cc3366,RU,OshKosh,26 g,34 cm,24 cm,,,0,0,2024-01-15,514 INR,5,Trendy Tees Boutique,,,2023-03-10,,,,Abstract,,,,,,,,,,,,/Womens/Saaree/RoyalBlue/1.jpg,"/Womens/Saaree/RoyalBlue/1.jpg,/Womens/Saaree/RoyalBlue/2.jpg,/Womens/Saaree/RoyalBlue/3.jpg,/Womens/Saaree/RoyalBlue/4.jpg,/Womens/Saaree/RoyalBlue/5.jpg"
/CLOTHING/WOMENS/TRADITIONAL WEAR/SAREES/Saree1,variant,/CATEGORY/WOMENS/TRADITIONAL WEAR/SAREES,SHUBH23,WineSaree,WineSaree,VinoSari,,,,#cc3366,CN,Carters,27 g,35 cm,25 cm,,,1,5,2024-01-16,515 INR,7,Trendy Tees Boutique,,,2023-04-15,,,,Animal,,,,,,,,,,,,/Womens/Saaree/Wine/display.jpg,"/Womens/Saaree/Wine/1.jpg,/Womens/Saaree/Wine/2.jpg,/Womens/Saaree/Wine/3.jpg,/Womens/Saaree/Wine/4.jpg,/Womens/Saaree/Wine/5.jpg"
/CLOTHING/MENS/INDIAN AND FESTIVE WEAR/KURTA SETS/Kurta,variant,/CATEGORY/MENS/INDIAN AND FESTIVE WEAR/KURTA SETS,CLOTH17,NavyBlue kurta,Navy blau,Azul marino,,,,#E9F10D,US,Carters,28 g,36 cm,26 cm,XL,32,1,8,2024-01-17,516 INR,15,Trendy Tees Boutique,,,2023-05-20,,,,Chevron,,,,,,,,,,,Beautiful embroidery.,/Mens/Ethinic wear/NavyBlue/1.jpg,"/Mens/Ethinic wear/NavyBlue/1.jpg,/Mens/Ethinic wear/NavyBlue/2.jpg,/Mens/Ethinic wear/NavyBlue/3.jpg,/Mens/Ethinic wear/NavyBlue/4.jpg,/Mens/Ethinic wear/NavyBlue/5.jpg"
/CLOTHING/MENS/TOP WEAR/CASUAL SHIRTS/PoloShirt,variant,/CATEGORY/MENS/TOP WEAR/CASUAL SHIRTS,,MintPoloShirt,MintPolo,MentaPolo,,,,#F10D0D,IN,Biba,29 g,37 cm,27 cm,L,,1,2,2024-01-18,517 INR,0,ABC Clothing Store,,,2023-06-25,,,,Gingham,,,,,,,,,,2.5,hrsgsmsmmk,/Mens/Polo/Mint/1.jpg,"/Mens/Polo/Mint/1.jpg,/Mens/Polo/Mint/2.jpg,/Mens/Polo/Mint/3.jpg,/Mens/Polo/Mint/4.jpg,/Mens/Polo/Mint/5.jpg,/Mens/Polo/Mint/6.jpg,/Mens/Polo/Mint/7.jpg"
/CLOTHING/MENS/TOP WEAR/CASUAL SHIRTS/PoloShirt,variant,/CATEGORY/MENS/TOP WEAR/CASUAL SHIRTS,CLOTH19,RedPoloShirt,RedPolo,rojopolo,,,,#F10D0D,RU,Neeru,30 g,38 cm,28 cm,XL,,1,1,2024-07-08,518 INR,5,Urban Casuals,,,2023-07-30,,,,Ditsy,,,,,,,,,,4,gmgmbb,/Mens/Polo/Red/r1.jpg,"/Mens/Polo/Red/r2.jpg,/Mens/Polo/Red/r3.jpg,/Mens/Polo/Red/r4.jpg,/Mens/Polo/Red/r5.jpg,/Mens/Polo/Red/r6.jpg,/Mens/Polo/Red/r7.jpg,/Mens/Polo/Red/r8.jpg"
/CLOTHING/MENS/TOP WEAR/CASUAL SHIRTS/PoloShirt,variant,/CATEGORY/MENS/TOP WEAR/CASUAL SHIRTS,CLOTH20,YellowPoloShirt,GelbPolo,AmarilloPolo,,,,#F10D0D,ES,OshKosh,31 g,39 cm,29 cm,XXL,,1,6,2024-08-19,519 INR,15,Tiny Tots Denim Depot,,,2023-08-05,,,,Afracian,,,,,,,,,,,hdissndsns,/Mens/Polo/Yellow/1.jpg,"/Mens/Polo/Yellow/2.jpg,/Mens/Polo/Yellow/3.jpg,/Mens/Polo/Yellow/4.jpg,/Mens/Polo/Yellow/5.jpg,/Mens/Polo/Yellow/6.jpg"
